product_id,sku,brand,cat
237,دوش صابون- 60 جم,دوش,صابون
1205,ديتول صابون اصلي- 165 جم,ديتول,صابون
1206,ديتول صابون عناية بالبشرة- 165 جم,ديتول,صابون
1207,ديتول صابون كوول- 165 جم,ديتول,صابون
1208,ديتول صابون جدد نشاطك- 165 جم,ديتول,صابون
2214,أولويز الترا رفيع طويل اقتصادى- 16 فوطة,أولويز,الفوط الصحية
2215,أولويز الترا رفيع طويل جدا عبوة اقتصادية- 14 فوطة,أولويز,الفوط الصحية
3598,جيليت ماكينه بلو تو بلس حريمى- 5 ماكينة,جيليت,أدوات حلاقة
6070,مولبد حماية ضد البكتيريا سميكه طويل (24+2) ميجا - 26 فوطة,مولبد,الفوط الصحية
8107,مولبد ماكسي سميكة حماية ضد البكتيريا طويل (24+4) ميجا توفير - 28 قطعه,مولبد,الفوط الصحية
9113,مولبد ماكسي مضغوطة حماية ضد البكتيريا طويل جدا (20+4) فوطه ميجا توفير - 24 فوطة,مولبد,الفوط الصحية
9114,مولبد ماكسي مضغوطة حماية ضد البكتيريا طويل (18*2)*8 عرض خاص - 36 فوطة,مولبد,الفوط الصحية
9122,مولبد ماكسي مضغوطة حماية ضد البكتيريا طويل جدا فردي - 7 فوطة,مولبد,الفوط الصحية
2212,أولويز فردي الترا طويل- 8 فوطة,أولويز,الفوط الصحية
2213,أولويز فردي الترا طويل جدا- 7 فوطة,أولويز,الفوط الصحية
2216,أولويز ماكسي سميكة فردي ملمس قطني طويل - 8 فوطة,أولويز,الفوط الصحية
2217,اولويز ماكسي سميكة 7 فوط طويل جدا نعومه قطنية 7 فوطة,أولويز,الفوط الصحية
3491,أولويز دوبل ماكسي طويل +2 فوطه عبوة اقتصادية - 18 فوطة,أولويز,الفوط الصحية
8158,اولويز ماكسي سميكة طويل جدا + 2 مجانا - 16 فوطة,أولويز,الفوط الصحية
8382,أولويز ماكسي سميكة طويل جدا- 7 فوطة,أولويز,الفوط الصحية
8383,أولويز ماكسي سميكة طويل جامبو توفير + 4 فوط مجانا - 26 فوطة,أولويز,الفوط الصحية
8384,أولويز ماكسي سميكة طويل جدا جامبو توفير + 4 فوط مجانا - 24 فوطة,أولويز,الفوط الصحية
8385,أولويز دوبل ملمس قطني طويل + 2 فوطة مجانا - 18 فوطة,أولويز,الفوط الصحية
